timestamp,frame_differencing,background_subtraction,contour_detection,ssim,mean
2025-03-16 01:02:03,20.65,3.39,21.35,17.23,15.65
2025-03-16 01:02:04,20.15,3.21,20.77,17.06,15.3
2025-03-16 01:02:04,,,,,
2025-03-16 01:02:05,19.75,2.97,19.47,17.05,14.81
2025-03-16 01:02:06,20.22,3.47,19.8,17.06,15.14
2025-03-16 01:02:07,25.04,4.75,25.63,17.41,18.21
2025-03-16 01:02:08,25.76,4.69,25.25,17.58,18.32
2025-03-16 01:02:09,26.07,4.53,26.36,17.39,18.59
2025-03-16 01:02:09,,,,,
2025-03-16 01:02:09,,,,,
2025-03-16 01:02:10,24.48,4.2,25.01,17.6,17.82
2025-03-16 01:02:11,,,,,
2025-03-16 01:02:11,,,,,
2025-03-16 01:02:11,23.56,4.23,23.79,17.5,17.27
2025-03-16 01:02:12,23.36,4.55,24.24,17.19,17.34
2025-03-16 01:02:13,44.11,13.85,45.2,21.1,31.06
2025-03-16 01:02:14,36.75,7.98,39.27,19.88,25.97
2025-03-16 01:02:15,44.25,17.79,44.78,30.07,34.22
2025-03-16 01:02:16,33.4,8.81,33.29,23.07,24.64
2025-03-16 01:02:17,,,,,
2025-03-16 01:02:17,32.74,7.35,33.51,20.68,23.57
2025-03-16 01:02:18,,,,,
2025-03-16 01:02:19,36.33,11.09,36.16,21.32,26.22
2025-03-16 01:02:20,32.74,8.79,33.33,19.65,23.63
2025-03-16 01:02:21,33.31,10.18,33.9,22.13,24.88
2025-03-16 01:02:21,,,,,
2025-03-16 01:02:22,74.91,37.26,81.06,28.61,55.46
2025-03-16 01:02:22,,,,,
2025-03-16 01:02:23,26.34,14.7,25.8,27.57,23.6
2025-03-16 01:02:24,25.62,14.65,25.23,28.16,23.42
2025-03-16 01:02:24,,,,,
2025-03-16 01:02:25,25.75,14.98,25.58,28.62,23.73
2025-03-16 01:02:26,28.6,17.04,27.84,29.84,25.83
2025-03-16 01:02:27,27.05,15.11,26.7,26.13,23.75
2025-03-16 01:02:28,,,,,
2025-03-16 01:02:28,,,,,
2025-03-16 01:02:28,,,,,
2025-03-16 01:02:28,35.99,15.68,35.42,26.01,28.27
